service_id,date,exception_type
A-DF,20220415,1
A-DF,20220815,1
A-DF,20220613,1
A-DF,20220610,1
A-DF,20220425,1
A-DF,20221208,1
A-DF,20221005,1
A-DF,20221101,1
A-DF,20221201,1
A-DF,20220616,1
A-SDF,20220415,1
A-SDF,20220815,1
A-SDF,20220613,1
A-SDF,20220610,1
A-SDF,20220425,1
A-SDF,20221208,1
A-SDF,20221005,1
A-SDF,20221101,1
A-SDF,20221201,1
A-SDF,20220616,1
A-U,20220415,2
A-U,20220615,2
A-U,20220815,2
A-U,20220613,2
A-U,20220610,2
A-U,20220425,2
A-U,20221208,2
A-U,20221005,2
A-U,20221101,2
A-U,20221201,2
E-U,20220831,2
E-U,20220830,2
E-U,20221230,2
E-U,20220829,2
E-U,20221229,2
E-U,20221228,2
E-U,20221227,2
E-U,20220826,2
E-U,20221226,2
E-U,20220425,2
E-U,20220825,2
E-U,20220824,2
E-U,20220823,2
E-U,20221223,2
E-U,20220822,2
E-U,20221222,2
E-U,20221221,2
E-U,20221220,2
E-U,20220819,2
E-U,20221219,2
E-U,20220418,2
E-U,20220818,2
E-U,20220817,2
E-U,20220816,2
E-U,20220616,2
E-U,20220415,2
E-U,20220815,2
E-U,20220414,2
E-U,20220413,2
E-U,20220613,2
E-U,20220812,2
E-U,20220412,2
E-U,20220411,2
E-U,20220811,2
E-U,20220810,2
E-U,20220610,2
E-U,20220809,2
E-U,20220808,2
E-U,20221208,2
E-U,20220805,2
E-U,20221005,2
E-U,20220804,2
E-U,20220803,2
E-U,20220802,2
E-U,20220801,2
E-U,20221201,2
E-U,20220729,2
E-U,20220728,2
E-U,20220727,2
E-U,20220726,2
E-U,20220725,2
E-U,20220722,2
E-U,20220721,2
E-U,20220720,2
E-U,20220719,2
E-U,20220718,2
E-U,20220715,2
E-U,20220714,2
E-U,20220713,2
E-U,20220712,2
E-U,20220711,2
E-U,20220909,2
E-U,20220708,2
E-U,20220908,2
E-U,20220707,2
E-U,20220107,2
E-U,20220907,2
E-U,20220706,2
E-U,20220106,2
E-U,20220906,2
E-U,20220705,2
E-U,20220105,2
E-U,20220905,2
E-U,20220704,2
E-U,20220104,2
E-U,20220103,2
E-U,20220902,2
E-U,20220901,2
E-U,20220701,2
E-U,20220301,2
E-U,20221101,2
FE-U,20220429,2
FE-U,20220428,2
