stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
155956,,Rua do Alcaide,,38.708218,-9.418101,,,,,,
155879,,Rua do Alcaide,,38.708844,-9.417902,,,,,,
5066,,Rua Depósitos da Água,,38.717552,-9.435612,,,,,,
5064,,Cascais Estação - Av. D. Pedro I,,38.701807,-9.418965,,,,,,
5067,,Rua Depósitos da Água,,38.717564,-9.435739,,,,,,
5063,,Matarraque,,38.707864,-9.354278,,,,,,
5664,,Atibá,,38.720911,-9.377369,,,,,,
156361,,Tires,,38.712995,-9.351251,,,,,,
7613,,Hipódromo ,,38.694098,-9.426844,,,,,,
7618,,Largo Rossio Pequeno,,38.738260,-9.339752,,,,,,
5065,,Rua Henrique Seixas,,38.704167,-9.417680,,,,,,
200023,,Alcabideche,,38.729550,-9.414720,,,,,,
7614,,Casa das Histórias,,38.694487,-9.423381,,,,,,
7405,,CascaiShopping,,38.738798,-9.401172,,,,,,
5054,,Rua Vasco da Gama - Cruz Vermelha,,38.686501,-9.351076,,,,,,
5060,,Avenida de Portugal - Nova SBE,,38.681201,-9.326062,,,,,,
5059,,Estoril - Estação,,38.703666,-9.398176,,,,,,
7043,,Bairro Azul,,38.689803,-9.348385,,,,,,
156099,,Bicesse,,38.729306,-9.384041,,,,,,
155940,,Bairro da Cruz Vermelha,,38.744282,-9.392219,,,,,,
7426,,E.Leclerc - S.Domingos Rana,,38.710251,-9.331151,,,,,,
157457,,Rotunda - Av. 25 Abril,,38.701584,-9.346045,,,,,,
155895,,Bairro da Cruz Vermelha,,38.744771,-9.391894,,,,,,
155672,,Edifício Cruzeiro,,38.707758,-9.403315,,,,,,
156258,,Rotunda do Linhó,,38.755288,-9.388499,,,,,,
155919,,Estoril - Estação,,38.703421,-9.398214,,,,,,
5935,,Rua Campo Santo,,38.716961,-9.385829,,,,,,
156337,,Escola de Hotelaria do Estoril,,38.713805,-9.390966,,,,,,
156301,,Parque Infantil,,38.711066,-9.422431,,,,,,
156369,,Arco de Caparide,,38.711854,-9.367014,,,,,,
157351,,Bairro das Faceiras,,38.714527,-9.344392,,,,,,
155974,,Rua Serpa Pinto,,38.710644,-9.395669,,,,,,
155709,,Alcorvim de Cima,,38.748444,-9.449244,,,,,,
157404,,Poço de Cação,,38.734063,-9.338733,,,,,,
155682,,Bombeiros,,38.705887,-9.432216,,,,,,
156040,,Rua Eça de Queiroz,,38.708755,-9.433625,,,,,,
156248,,Rua das Fontaínhas,,38.709933,-9.421985,,,,,,
155890,,Rua Francisco Roquete,,38.732737,-9.409292,,,,,,
156082,,Rua do Chafariz - Amoreira,,38.717471,-9.410589,,,,,,
155954,,Pai do Vento,,38.713685,-9.417762,,,,,,
157661,,Bairro Alentejano,,38.696580,-9.353445,,,,,,
156126,,Rua do Pinheiro,,38.714382,-9.372033,,,,,,
155675,,Bairro da Alegria,,38.721954,-9.407229,,,,,,
157305,,Rua Vergílio Ferreira,,38.711958,-9.336724,,,,,,
155861,,Outeiro do Zambujeiro,,38.737162,-9.448757,,,,,,
156081,,Av. Sabóia,,38.705895,-9.406874,,,,,,
156200,,Rua dos Castanheiros,,38.705416,-9.460438,,,,,,
155964,,Hospital de Cascais,,38.732320,-9.418436,,,,,,
157332,,Rua N. Sra. Remédios,,38.717623,-9.332816,,,,,,
200024,,Alcabideche,,38.729710,-9.414400,,,,,,
157361,,Largo Lavadouro,,38.734940,-9.366023,,,,,,
156137,,Manique,,38.735346,-9.368492,,,,,,
155926,,Rotunda - Rua Conde Barão,,38.732165,-9.397208,,,,,,
156336,,Escola de Hotelaria do Estoril,,38.714303,-9.390577,,,,,,
146289,,Talaíde - C.Futebol,,38.739699,-9.314561,,,,,,
157409,,Rua Cabo da Roca,,38.721650,-9.338213,,,,,,
157344,,Rua Dr. Baltazar Cabral,,38.693363,-9.335895,,,,,,
157325,,Conceição da Abóboda,,38.730565,-9.323342,,,,,,
200022,,CascaiShopping,,38.739090,-9.397080,,,,,,
156295,,Carrascal do Alvide,,38.723989,-9.425069,,,,,,
157324,,Ribeira da Estribeira,,38.734168,-9.319625,,,,,,
156240,,Rua das Codornizes,,38.709211,-9.448282,,,,,,
156335,,Bairro da Martinha,,38.720089,-9.387469,,,,,,
157480,,Carrascal de Manique,,38.737139,-9.361395,,,,,,
155653,,Bairro da Alegria,,38.722004,-9.407398,,,,,,
5007,,Rua Nova,,38.711023,-9.375031,,,,,,
155631,,Cobre,,38.711576,-9.437331,,,,,,
155991,,Av. Pádua,,38.708124,-9.413459,,,,,,
157405,,Rua Alfredo da Silva,,38.730406,-9.336579,,,,,,
156073,,Calçada Pai Vento,,38.713780,-9.413843,,,,,,
155860,,Alcorvim de Baixo,,38.741368,-9.451492,,,,,,
157401,,Apadil,,38.744371,-9.341799,,,,,,
156069,,Rotunda - Rua Conde Barão,,38.733176,-9.397809,,,,,,
155894,,Rotunda - Rua Fisgas,,38.741927,-9.393305,,,,,,
155941,,Rotunda - Rua Fisgas,,38.742079,-9.393422,,,,,,
156113,,S. João do Estoril - Estação,,38.701564,-9.384815,,,,,,
155914,,Rua Serpa Pinto,,38.710128,-9.395859,,,,,,
156114,,Rua João António Gaspar,,38.703103,-9.387364,,,,,,
156094,,Manique,,38.735512,-9.368613,,,,,,
