route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
M01,A-SDF,M01-2-032-A-SDF-19h00-CascaiShopping,Parede Terminal,,1,,ubyl,,
M01,A-SDF,M01-2-038-A-SDF-24h15-CascaiShopping,Parede Terminal,,1,,ubyl,,
M01,A-U,M01-1-009-A-U-15h15-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-010-A-U-16h00-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-011-A-U-16h45-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-012-A-U-17h30-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-013-A-U-18h15-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-014-A-U-19h00-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-015-A-U-19h45-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-016-A-U-20h30-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-021-A-SDF-09h15-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-022-A-SDF-10h00-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-023-A-SDF-10h45-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-037-A-SDF-21h15-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-040-A-SDF-23h45-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-038-A-SDF-21h45-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-024-A-SDF-11h30-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-003-A-U-10h45-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-004-A-U-11h30-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-007-A-U-13h45-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-002-A-U-10h00-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-034-A-SDF-19h00-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-035-A-SDF-19h45-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-036-A-SDF-20h30-ParedeTerminalR,,,0,,p9c8,,
M01,A-U,M01-1-001-A-U-09h15-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-025-A-SDF-12h15-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-1-026-A-SDF-13h00-ParedeTerminalR,,,0,,p9c8,,
M01,A-SDF,M01-2-034-A-SDF-20h30-CascaiShopping,Parede Terminal,,1,,ubyl,,
