Id,Nome,Tipo,Classificação,Comprimento,Sentido,Código,Rua Id
2116963,Rua Lucília do Carmo (Fadista),Normal,Rua,44.81,Dois Sentidos,20000,1686247
2116991,Rua Baptista Pereira,Normal,Rua,16.33,Dois Sentidos,20002,1675638
2116999,Rua Baptista Pereira,Normal,Rua,15.54,Directo,20003,1675638
2234181,Rua Aires de Saldanha,Normal,Rua,8.411,Dois Sentidos,16904,2234168
2234211,Praceta Aires de Saldanha,Normal,Rua,38.82,Dois Sentidos,16905,2234217
2234220,Praceta D. Francisco da Gama,Normal,Rua,67.03,Dois Sentidos,16906,2234226
2234251,Travessa das Papoilas,Normal,Rua,198.3,Dois Sentidos,16907,2234273
2234282,Praceta André Resende,Normal,Rua,37.59,Dois Sentidos,16908,2234290
2234297,Rua dos Martires,Normal,Rua,51.16,Dois Sentidos,12854,1687639
2234303,Travessa Girassol,Normal,Rua,132.9,Dois Sentidos,16909,2234313
2234320,Rua S. Domingos de Gusmão,Normal,Rua,152.9,Dois Sentidos,15873,1700570
2234326,Rua dos Rolos,Normal,Rua,51.20,Dois Sentidos,3669,1693387
2234342,Beco da Figueira,Normal,Rua,14.25,Dois Sentidos,16910,2234350
2234353,Rua da Malveiroa,Normal,Rua,52.27,Dois Sentidos,16911,2234361
2234396,Travessa da Lagarteira,Normal,Rua,42.32,Dois Sentidos,16912,2234404
2234417,Praceta Barbosa du Bocage,Normal,Rua,36.11,Dois Sentidos,16913,2234425
2234432,Praceta Domingos D'Avillez (1914-2009),Normal,Rua,89.64,Dois Sentidos,16914,2234440
2234449,Rua das Salgadas Nascentes,Normal,Rua,241.5,Dois Sentidos,16916,1693969
2234455,Rua das Salgadas Nascentes,Normal,Rua,37.49,Dois Sentidos,16917,1693969
2234485,Travessa fernando Tavares Rodrigues (Poeta 1954-2006),Normal,Rua,79.49,Dois Sentidos,16918,2234495
2234502,Rua César Guilherme Cardoso (Fotógrafo 1922-2006),Normal,Rua,70.65,Dois Sentidos,16919,2234510
2234513,Travessa João Cabral da Salva (Empresário 1905-1966),Normal,Rua,67.10,Dois Sentidos,16920,2234526
2234555,Rua António Feio (1954-2010),Normal,Rua,87.13,Dois Sentidos,16921,2234563
2234566,Rua da Pedra Azul,Normal,Rua,87.22,Dois Sentidos,16922,2234572
2234589,Rua Ribeira da Vinha,Normal,Rua,109.0,Dois Sentidos,16923,2234595
2235136,Avenida Padre Jerónimo Usera (1810-1891),Normal,Rua,278.8,Dois Sentidos,,2235142
2235160,Praceta Gil Vicente,Normal,Rua,19.92,Dois Sentidos,,2235166
2235175,Travessa António Nobre,Normal,Rua,38.94,Pedonal,,2116751
2235182,Arcadas do Parque Poente,Normal,Rua,60.54,Dois Sentidos,,1665306
2235197,Beco Ary dos Santos,Normal,Rua,31.02,Dois Sentidos,,1667315
2235209,Escadinhas da Bela Vista,Normal,Rua,40.42,Pedonal,,1667884
2235217,Escadinhas dos Cucos,Normal,Rua,38.84,Pedonal,,1667893
2235228,Escadinhas da Escola Nova,Normal,Rua,43.08,Pedonal,,1667907
2235238,Largo José Régio,Normal,Rua,47.86,Pedonal,,1668925
2235248,Pátio da Cartacha,Normal,Rua,39.84,Dois Sentidos,,1669543
2235268,Praceta Dom António Castelo Branco,Normal,Rua,28.41,Dois Sentidos,,1672276
2235288,Pátio Vivenda Alice Pimentel,Normal,Rua,14.41,Pedonal,,1704759
2235300,Rua do Vale de Melão,Normal,Rua,273.5,Dois Sentidos,,1705293
2235310,Escadinhas do Parque Infantil,Normal,Rua,20.11,Pedonal,,1707068
2235316,Escadinhas Sílvio Mascarenhas,Normal,Rua,96.74,Pedonal,,1707580
2235338,Calçada Henrique Mendes,Normal,Rua,23.15,Pedonal,,1707644
2235350,Travessa de Todos os Santos,Normal,Rua,50.17,Pedonal,,1998070
2235368,Jardins do Buzano,Normal,Rua,207.2,Pedonal,,2034959
2235390,Rua das Algas,Normal,Rua,43.66,Dois Sentidos,,2079449
2235406,Largo do Figueiredo,Normal,Rua,36.68,Dois Sentidos,,1668830
2235416,Rua Almirante Gago Coutinho,Normal,Rua,30.78,Directo,16863,1705223
2235462,Rua de Tito Curiácio Rufino (Época Romana),Normal,Rua,156.4,Dois Sentidos,,2080287
2235468,Rua de Tito Curiácio Rufino (Época Romana),Normal,Rua,136.8,Dois Sentidos,,2080287
2235502,Avenida Salgueiro Maia,Normal,Rua,42.32,Dois Sentidos,4453,1709184
2235551,Rua Manuel de Almeida (1922-1995),Normal,Rua,37.78,Dois Sentidos,,2080307
2235577,Praceta José António Beja,Normal,Rua,21.98,Dois Sentidos,4753,1674646
2235587,Rua Maria Leite,Normal,Rua,83.34,Dois Sentidos,,2235595
2235635,Rua Carlos César (Actor 1943-2001),Normal,Rua,134.9,Dois Sentidos,,1705506
2235641,Rua João Aguardela (1969-2009),Normal,Rua,35.84,Dois Sentidos,,2080328
2235652,Rua dos Riachos,Normal,Rua,51.78,Dois Sentidos,,1693031
2235666,Rua Fernanda Baptista (1919-2008),Normal,Rua,154.1,Dois Sentidos,,2080367
2235707,Rua António Variações (1944-1984),Normal,Rua,97.30,Dois Sentidos,,2080376
2235813,Jardim da Paz,Normal,Rua,110.6,Pedonal,,2080339
2235823,Praceta do Realista,Normal,Rua,32.35,Dois Sentidos,,2080442
2235835,Travessa Plácido de Abreu,Normal,Rua,41.13,Dois Sentidos,,2080459
2235843,Travessa de São Miguel,Normal,Rua,42.04,Dois Sentidos,,2080470
2235889,Jardim Luís Filipe Lopes Lacerda,Normal,Rua,85.37,Pedonal,,2029753
2235923,Avenida Professor Armando dos Santos Ferreira,Normal,Rua,215.9,Directo,,2082157
2235982,Avenida Professor Armando dos Santos Ferreira,Normal,Rua,186.8,Directo,,2082157
2236007,Praceta Carlos Reis,Normal,Rua,25.46,Dois Sentidos,,2090853
2236023,Praceta Dr. Luis de Sousa Lara,Normal,Rua,42.04,Dois Sentidos,,2091157
2236064,Praceta António Gilberto de Andrade,Normal,Rua,91.60,Dois Sentidos,,2115673
2236090,Beco Joaquim Miguel Serra e Moura,Normal,Rua,36.51,Dois Sentidos,,2107623
2236098,Rua dos Pinheiros Mansos,Normal,Rua,131.1,Dois Sentidos,,2107757
2236156,Rua das Fontaínhas,Normal,Rua,229.1,Dois Sentidos,,2107812
2236180,Rua "O Crime do Padre Amaro",Normal,Rua,59.70,Dois Sentidos,,2107851
2236194,Rua João Blanc Abreu e Mota,Normal,Rua,41.44,Dois Sentidos,,2110740
2236235,Rua Abel Fontoura,Normal,Rua,53.94,Dois Sentidos,,2114003
2236245,Travessa Estreita,Normal,Rua,34.65,Dois Sentidos,,2114014
2236261,Rua Damião de Peres,Normal,Rua,59.78,Dois Sentidos,,2116685
2236291,Praceta Luís Sá,Normal,Rua,29.68,Dois Sentidos,,2116708
2236299,Rua Lopes Cardoso,Normal,Rua,110.9,Dois Sentidos,,2116719
2236349,Beco do Bocage,Normal,Rua,30.77,Dois Sentidos,,2236359
2236588,Auto-Estrada A5,Normal,Acesso a via rápida,390.6,Inverso,0,1665410
2236687,Rua Manuel Henrique,Passagem inferior,Rua,123.7,Directo,7800,1687132
